"","company","product","type","inches","screen","cpu","ram","gpu","opsys","weight","price","ghz","mem1","drive","mem2"
"31","Chuwi","LapBook 15.6""","Notebook",15.6,"Full HD 1920x1080","Intel Atom x5-Z8300 1.44GHz",4,"Intel HD Graphics","Windows 10",1.89,244.99,1.4,64,"SSD",0
"32","Asus","E402WA-GA010T (E2-6110/2GB/32GB/W10)","Notebook",14,"1366x768","AMD E-Series E2-6110 1.5GHz",2,"AMD Radeon R2","Windows 10",1.65,199,1.5,32,"SSD",0
"33","HP","17-ak001nv (A6-9220/4GB/500GB/Radeon","Notebook",17.3,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"AMD Radeon 530","Windows 10",2.71,439,2.5,500,"HDD",0
"34","Dell","XPS 13","Ultrabook",13.3,"Touchscreen / Quad HD+ 3200x1800","Intel Core i7 8550U 1.8GHz",16,"Intel UHD Graphics 620","Windows 10",1.2,1869,1.8,512,"SSD",0
"35","Apple","MacBook Air","Ultrabook",13.3,"1440x900","Intel Core i5 1.6GHz",8,"Intel HD Graphics 6000","macOS",1.35,998,1.6,256,"SSD",0
"36","Lenovo","IdeaPad 120S-14IAP","Notebook",14,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"Intel HD Graphics 500","Windows 10",1.44,249,1.1,64,"SSD",0
"37","Acer","Aspire 3","Notebook",15.6,"1366x768","Intel Core i3 7130U 2.7GHz",4,"Intel HD Graphics 620","Linux",2.1,367,2.7,1000,"HDD",0
"38","Dell","Inspiron 5770","Notebook",17.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"AMD Radeon 530","Windows 10",2.8,979,1.6,128,"SSD",1000
"39","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"Intel HD Graphics 620","Windows 10",1.86,488.69,2.5,1000,"HDD",0
"40","HP","ProBook 450","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Nvidia GeForce 930MX","Windows 10",2.1,879,1.6,256,"SSD",0
"41","Asus","X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"Intel HD Graphics 620","Linux",2,389,2,1000,"HDD",0
"42","Dell","Inspiron 7577","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1060","Windows 10",2.65,1499,2.8,256,"SSD",1000
"43","Asus","X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"Nvidia GeForce 940MX","Linux",2.3,522.99,2.5,1000,"HDD",0
"44","Acer","Aspire A515-51G","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",4,"Intel UHD Graphics 620","Windows 10",2.2,682,1.6,256,"SSD",0
"45","Dell","Inspiron 7773","2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",12,"Nvidia GeForce 150MX","Windows 10",2.77,999,1.6,1000,"HDD",0
"46","Apple","MacBook Pro","Ultrabook",13.3,"IPS Panel Retina Display 2560x1600","Intel Core i5 2.0GHz",8,"Intel Iris Graphics 540","macOS",1.37,1419,2,256,"SSD",0
"47","Lenovo","IdeaPad 320-15ISK","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"Intel HD Graphics 520","No OS",2.2,369,2,128,"SSD",0
"48","Asus","Rog Strix","Gaming",17.3,"Full HD 1920x1080","AMD Ryzen 1700 3GHz",8,"AMD Radeon RX 580","Windows 10",3.2,1299,3,256,"SSD",1000
"49","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"AMD Radeon R5 M430","Windows 10",2.3,639,2.5,256,"SSD",0
"50","Asus","X751NV-TY001T (N4200/4GB/1TB/GeForce","Notebook",17.3,"1366x768","Intel Pentium Quad Core N4200 1.1GHz",4,"Nvidia GeForce 920MX","Windows 10",2.8,466,1.1,1000,"HDD",0
"51","Lenovo","Yoga Book","2 in 1 Convertible",10.1,"IPS Panel Touchscreen 1920x1200","Intel Atom x5-Z8550 1.44GHz",4,"Intel HD Graphics 400","Android",0.69,319,1.4,64,"SSD",0
"52","Acer","Aspire A515-51G","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Nvidia GeForce MX150","Windows 10",2.2,841,1.8,256,"SSD",0
"53","HP","255 G6","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"AMD Radeon R4 Graphics","Windows 10",1.86,398.49,2.5,256,"SSD",0
"54","HP","ProBook 430","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",1.49,1103,1.8,512,"SSD",0
"55","Acer","Aspire 3","Notebook",15.6,"1366x768","Intel Core i3 7100U 2.4GHz",4,"Intel HD Graphics 620","Windows 10",2.4,384,2.4,1000,"HDD",0
"56","Dell","Inspiron 3576","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"AMD Radeon 520","Windows 10",2.13,767.8,1.8,256,"SSD",0
"57","HP","15-bs002nv (i3-6006U/4GB/128GB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"Intel HD Graphics 520","Windows 10",1.91,439,2,128,"SSD",0
"58","Asus","VivoBook Max","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",4,"Intel HD Graphics 620","Windows 10",2,586.19,2.5,256,"SSD",0
"59","MSI","GS73VR 7RG","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1070","Windows 10",2.43,2449,2.8,256,"SSD",2000
"60","Asus","X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux)","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"Intel HD Graphics 520","Linux",2,415,2,256,"SSD",0
"61","Dell","Inspiron 5770","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"AMD Radeon 530","Windows 10",2.8,1299,1.8,256,"SSD",2000
"62","Dell","Vostro 5471","Ultrabook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.7,879,1.6,256,"SSD",0
"63","Lenovo","IdeaPad 520S-14IKB","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",8,"Intel HD Graphics 620","No OS",1.7,599,2.7,256,"SSD",0
"64","Asus","UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10)","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.4,941,1.6,256,"SSD",0
"65","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"Intel HD Graphics 620","Windows 10",1.86,690,2.5,256,"SSD",0
"66","Asus","ZenBook Pro","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1050 Ti","Windows 10",1.8,1983,2.8,512,"SSD",0
"67","HP","250 G6","Notebook",15.6,"1366x768","Intel Core i3 6006U 2GHz",4,"AMD Radeon 520","Windows 10",1.86,438.69,2,500,"HDD",0
"68","HP","Stream 14-AX040wm","Notebook",14,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"Intel HD Graphics 400","Windows 10",1.44,229,1.6,32,"SSD",0
"69","Lenovo","V310-15ISK (i5-7200U/4GB/1TB/FHD/W10)","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",4,"Intel HD Graphics 620","Windows 10",1.9,549,2.5,1000,"HDD",0
"70","Asus","FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce","Gaming",17.3,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"Nvidia GeForce GTX 1050 Ti","Linux",3,949,2.8,1000,"HDD",0
"71","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",4,"Intel HD Graphics 620","Windows 10",1.252,1089,2.5,128,"SSD",0
"72","Dell","Inspiron 5370","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"AMD Radeon 530","Windows 10",1.4,955,1.8,256,"SSD",0
"73","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"AMD Radeon 530","Windows 10",2.2,870,1.8,256,"SSD",0
"74","MSI","GL72M 7RDX","Gaming",17.3,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"Nvidia GeForce GTX 1050","Windows 10",2.7,1095,2.5,128,"SSD",1000
"75","Acer","Aspire E5-475","Notebook",14,"1366x768","Intel Core i3 6006U 2GHz",8,"Intel HD Graphics 520","Windows 10",2.1,389,2,1000,"HDD",0
"76","Asus","FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",8,"Nvidia GeForce GTX 1050","Windows 10",2.2,949,2.8,1000,"HDD",0
"77","Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"Intel HD Graphics 620","No OS",2.2,519,2.5,2000,"HDD",0
"78","Dell","Inspiron 5570","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",2.02,855,1.8,128,"SSD",1000
"79","Acer","Aspire A515-51G-32MX","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"Nvidia GeForce MX130","Windows 10",2.2,530,2.7,1000,"HDD",0
"80","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Nvidia GeForce 930MX","Windows 10",2.5,977,1.6,128,"SSD",1000
"81","Dell","Latitude 5590","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.88,1096.16,1.6,256,"SSD",0
"82","Apple","MacBook 12""","Ultrabook",12,"IPS Panel Retina Display 2304x1440","Intel Core i5 1.3GHz",8,"Intel HD Graphics 615","macOS",0.92,1510,1.3,512,"SSD",0
"83","HP","ProBook 440","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel HD Graphics 620","Windows 10",1.63,860,1.6,256,"SSD",0
"84","Lenovo","IdeaPad 320-15AST","Notebook",15.6,"Full HD 1920x1080","AMD A6-Series 9220 2.5GHz",4,"AMD R4 Graphics","Windows 10",2.2,399,2.5,128,"SSD",0
"85","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"AMD Radeon R5","Windows 10",2.1,395,3,1000,"HDD",0
"86","Dell","Inspiron 7577","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1050 Ti","Windows 10",2.65,1349,2.8,128,"SSD",1000
"87","HP","Pavilion 15-CK000nv","Ultrabook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Nvidia GeForce GTX 940MX","Windows 10",1.83,699,1.8,256,"SSD",0
"88","HP","250 G6","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"Intel HD Graphics 620","Windows 10",1.96,598.99,2.5,256,"SSD",0
"89","Asus","FX503VM-E4007T (i7-7700HQ/16GB/1TB","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1060","Windows 10",2.2,1449,2.8,128,"SSD",1000
"90","Dell","XPS 13","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",1.21,1649,1.8,256,"SSD",0
"91","Asus","FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon","Gaming",15.6,"Full HD 1920x1080","AMD FX 9830P 3GHz",8,"AMD Radeon RX 560","Windows 10",2.45,699,3,1000,"HDD",0
"92","Acer","Aspire 5","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Nvidia GeForce MX150","Windows 10",2.2,689,1.8,1000,"HDD",0
"93","HP","Probook 430","Notebook",13.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"Intel UHD Graphics 620","Windows 10",1.49,1197,1.8,512,"SSD",0
"94","Dell","Inspiron 7577","Gaming",15.6,"Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz",8,"Nvidia GeForce GTX 1060","Windows 10",2.65,1195,2.5,256,"SSD",0
"95","Asus","Zenbook UX430UA","Ultrabook",14,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"Intel HD Graphics 620","Windows 10",1.25,1049,2.7,256,"SSD",0
"96","Acer","Spin 5","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.5,847,1.6,256,"SSD",0
"97","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"AMD Radeon R5 M430","Linux",2.2,599.9,2.7,1000,"HDD",0
"98","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"AMD Radeon R5 M430","Linux",2.2,485,2,256,"SSD",0
"99","Asus","X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7100U 2.4GHz",6,"Nvidia GeForce 920M","Windows 10",2,577,2.4,256,"SSD",0
"100","HP","Omen 15-ce007nv","Gaming",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",12,"Nvidia GeForce GTX 1050","Windows 10",2.62,1249,2.8,128,"SSD",1000
"101","HP","15-bs017nv (i7-7500U/8GB/256GB/Radeon","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"AMD Radeon 530","Windows 10",1.91,719,2.7,256,"SSD",0
"102","HP","15-bw000nv (E2-9000e/4GB/500GB/Radeon","Notebook",15.6,"Full HD 1920x1080","AMD E-Series E2-9000e 1.5GHz",4,"AMD Radeon R2","Windows 10",2.1,349,1.5,500,"HDD",0
"103","Dell","Inspiron 3576","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"AMD Radeon 520","Linux",2.2,647,1.6,1000,"HDD",0
"104","HP","Envy 13-ad009n","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"Nvidia GeForce MX150","Windows 10",1.38,1119,2.7,256,"SSD",0
"105","Microsoft","Surface Laptop","Ultrabook",13.5,"Touchscreen 2256x1504","Intel Core i5 7200U 2.5GHz",8,"Intel HD Graphics 620","Windows 10",1.252,1340,2.5,256,"SSD",0
"106","HP","Pavilion 14-BK001nv","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",6,"Nvidia GeForce 940MX","Windows 10",1.58,659,2.5,256,"SSD",0
"107","Lenovo","Ideapad 310-15ISK","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"Intel HD Graphics 520","Windows 10",1.85,414.9,2,1000,"HDD",0
"108","Asus","UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"Nvidia GeForce 940MX","Windows 10",1.3,1193,2.7,256,"SSD",0
"109","MSI","GP62M 7REX","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1050 Ti","Windows 10",2.2,1299,2.8,256,"SSD",1000
"110","Lenovo","Thinkpad T470","Notebook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz",8,"Intel HD Graphics 620","Windows 10",1.58,1480,2.7,256,"SSD",0
"111","Asus","VivoBook S15","Ultrabook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"Nvidia GeForce MX150","Windows 10",1.5,1262,1.8,256,"SSD",1000
"112","Dell","XPS 13","Ultrabook",13.3,"Quad HD+ / Touchscreen 3200x1800","Intel Core i7 7560U 2.4GHz",8,"Intel Iris Plus Graphics 640","Windows 10",1.23,1379,2.4,256,"SSD",0
"113","Lenovo","ThinkPad Yoga","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz",8,"Intel HD Graphics 620","Windows 10",1.37,1399,2.5,256,"SSD",0
"114","HP","Probook 440","Notebook",14,"IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz",4,"Intel UHD Graphics 620","Windows 10",1.63,722,1.6,500,"HDD",0
"115","Dell","XPS 13","Ultrabook",13.3,"IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.21,1629,1.6,256,"SSD",0
"116","HP","Spectre x360","2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.26,1398.99,1.6,256,"SSD",0
"117","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",1.63,1084,1.8,512,"SSD",0
"118","Dell","Inspiron 7570","Notebook",15.6,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Nvidia GeForce 940MX","Windows 10",2.16,1130.33,1.8,256,"SSD",1000
"119","Asus","X705UV-BX074T (i3-6006U/4GB/1TB/GeForce","Notebook",17.3,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"Nvidia GeForce 920MX","Windows 10",2,564,2,1000,"HDD",0
"120","Asus","VivoBook S15","Notebook",15.6,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Nvidia GeForce 940MX","Windows 10",1.7,1118,1.8,256,"SSD",0
"121","Acer","Spin 3","Notebook",15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i3 7100U 2.4GHz",6,"Intel HD Graphics 620","Windows 10",2.1,479,2.4,1000,"HDD",0
"122","MSI","GS63VR 7RG","Gaming",15.6,"Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz",16,"Nvidia GeForce GTX 1070","Windows 10",1.8,2241.5,2.8,256,"SSD",2000
"123","Lenovo","IdeaPad 320-15IKBN","Notebook",15.6,"Full HD 1920x1080","Intel Core i5 7200U 2.5GHz",8,"Nvidia GeForce 940MX","No OS",2.2,629,2.5,256,"SSD",0
"124","HP","Probook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"Nvidia GeForce 930MX","Windows 10",2.5,1271,1.8,512,"SSD",0
"125","Acer","Aspire 3","Notebook",15.6,"1366x768","AMD A9-Series 9420 3GHz",4,"AMD Radeon R5","Windows 10",2.1,451,3,256,"SSD",0
"126","HP","250 G6","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3060 1.6GHz",4,"Intel HD Graphics 400","No OS",1.86,259,1.6,500,"HDD",0
"127","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",1.63,812,1.6,1000,"HDD",0
"128","Asus","E402WA-GA007T (E2-6110/4GB/64GB/W10","Notebook",14,"1366x768","AMD E-Series 6110 1.5GHz",4,"AMD Radeon R2","Windows 10",1.65,277.99,1.5,64,"SSD",0
"129","Dell","Inspiron 5770","Notebook",17.3,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",16,"AMD Radeon 530","Windows 10",2.8,1396,1.8,256,"SSD",2000
"130","HP","ProBook 470","Notebook",17.3,"Full HD 1920x1080","Intel Core i5 8250U 1.6GHz",8,"Intel UHD Graphics 620","Windows 10",2.5,928,1.6,256,"SSD",0
"131","Dell","Inspiron 5567","Notebook",15.6,"1366x768","Intel Core i5 7200U 2.5GHz",8,"AMD Radeon R7 M445","Windows 10",2.36,638.99,2.5,1000,"HDD",0
"132","Dell","Inspiron 3567","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 6006U 2GHz",4,"AMD Radeon R5 M430","Windows 10",2.2,449,2,1000,"HDD",0
"133","Acer","Swift 3","Ultrabook",14,"IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",1.6,884,1.8,256,"SSD",0
"134","Acer","Aspire A515-51G-37JS","Notebook",15.6,"Full HD 1920x1080","Intel Core i3 7130U 2.7GHz",4,"Nvidia GeForce MX130","Windows 10",2.2,572,2.7,256,"SSD",0
"135","HP","15-BS078nr (i7-7500U/8GB/1TB/W10)","Notebook",15.6,"1366x768","Intel Core i7 7500U 2.7GHz",8,"Intel HD Graphics 620","Windows 10",2.05,598,2.7,1000,"HDD",0
"136","HP","Probook 440","Notebook",14,"Full HD 1920x1080","Intel Core i7 8550U 1.8GHz",8,"Intel UHD Graphics 620","Windows 10",1.63,988,1.8,256,"SSD",0
"137","Lenovo","V110-15IAP (N3350/4GB/1TB/No","Notebook",15.6,"1366x768","Intel Celeron Dual Core N3350 1.1GHz",4,"Intel HD Graphics 500","No OS",1.9,252.36,1.1,1000,"HDD",0
